"APPENDIX: Catalog numbers for specimens of Boonea impressa.

Seasonal oyster harvesting recorded in a Late Archaic Period shell ring
Nicole R. Cannarozzi1¶* and Michal Kowalewski1¶
Florida Museum of Natural History, University of Florida, Gainesville, Florida, United States of America 
*Corresponding author
E-mail: ncannarozzi@floridamuseum.ufl.edu (NC)
Revised: Sep 25 2019",,,,,,,,,
"Location: St. Catherines Island, GA",,,,,,,,,
"Current Colletion Location: Environmental Archaeology Laboratory, Florida Museum of Natural History, Gainesville Florida, USA",,,,,,,,,
"Permanent Collection Location: Laboratory of Archaeology, University of Athens Georgia, USA",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
PART 1 ARCHAEOLOGICAL SAMPLES,,,,,,,,,
Site: St. Catherines Shell Ring,,Boonea impressa catalog numbers,,,,,,,
,,,,,,,,,
Unit: Trench 281 W83S2,,,,,,,,,
Unit,Level,Depth,Screen,Taxon,Element,Portion,Count ,Weight,Catalog number
W83S2,4,3.0-2.9,1/16,Boonea impressa,body,anterior 1/2,1,0.09,1601-001
W83S2,4,3.0-2.9,1/16,Boonea impressa,body,whole,16,0.09,1601-001
W83S2,5,2.9-2.75,1/8,Boonea impressa,body,whole,2,0.02,1602-001
W83S2,5,2.9-2.75,1/16,Boonea impressa,body,whole,16,0.10,1602-002
W83S2,6,2.75-2.7,1/8,Boonea impressa,body,whole,4,0.04,1603-001
W83S2,6,2.75-2.7,1/16,Boonea impressa,body,nearly whole,4,0.03,1603-002
W83S2,6,2.75-2.7,1/16,Boonea impressa,body,whole,42,0.27,1603-002
W83S2,7,2.7-2.6,1/8,Boonea impressa,body,whole,6,0.06,1652-001
W83S2,7,2.7-2.6,1/16,Boonea impressa,body,nearly whole,2,,1652-002
W83S2,7,2.7-2.6,1/16,Boonea impressa,body,whole,20,0.15,1652-002
W83S2,8,2.6-2.5, 1/8,Boonea impressa,body,whole,7,0.06,1653-001
W83S2,8,2.6-2.5,  1/16,Boonea impressa,body,whole,38,0.27,1653-002
W83S2,9,2.5-2.4,1/8,Boonea impressa,body,anterior 1/2,1,,1745-001
W83S2,9,2.5-2.4,1/8,Boonea impressa,body,nearly whole,2,,1745-001
W83S2,9,2.5-2.4,1/8,Boonea impressa,body,whole,12,0.11,1745-001
W83S2,9,2.5-2.4,1/16,Boonea impressa,body,anterior 1/16,1,,1745-002
W83S2,9,2.5-2.4,1/16,Boonea impressa,body,nearly whole,2,,1745-002
W83S2,9,2.5-2.4,1/16,Boonea impressa,body,whole,10,0.70,1745-002
W83S2,11,2.36-2.30,1/16 dry,Boonea impressa,body,whole,2,0.02,1749-001
W83S2,10 (ash layer),2.40-2.28,1/8,Boonea impressa,body,anterior 1/2,3,,1747-001
W83S2,10 (ash layer),2.40-2.28,1/8,Boonea impressa,body,fragment,1,,1747-001
W83S2,10 (ash layer),2.40-2.28,1/8,Boonea impressa,body,nearly whole,2,,1747-001
W83S2,10 (ash layer),2.40-2.28,1/8,Boonea impressa,body,whole,50,0.34,1747-001
W83S2,10 (ash layer),2.40-2.28,1/16,Boonea impressa,body,anterior 1/2,3,,1747-002
W83S2,10 (ash layer),2.40-2.28,1/16,Boonea impressa,body,whole,24,0.21,1747-002
,,,,,,,,,
Unit: 789N801E,,,,,,,,,
Unit,Level,Depth,Screen,Taxon,Element,Portion,Count ,Weight,Catalog number
789N801E,2,3.0-2.9,  1/16,Boonea impressa,body,whole,8,0.06,1931-001
789N801E,3,2.9-2.8,  1/16,Boonea impressa,body,nearly whole,4,,1932-001
